yourlist:M201705058A530B6CA0138AFAA6D2B97CE8C2A924D0C2A2K	Entry	Entry name	Protein names	Gene names	Gene names  (primary )	Gene names  (synonym )	Gene names  (ordered locus )	Gene names  (ORF )	Organism
Q9Y9F2	Q9Y9F2	AUBA_AERPE	RNA-binding protein AU-1 (AU-binding protein)	aubA APE_2336.1	aubA		APE_2336.1		Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1)
Q9Y9C1	Q9Y9C1	IF2G_AERPE	Translation initiation factor 2 subunit gamma (aIF2-gamma) (eIF-2-gamma)	eif2g APE_2366.1	eif2g		APE_2366.1		Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1)
Q9Y942	Q9Y942	TF2B_AERPE	Transcription initiation factor IIB (TFIIB)	tfb APE_2443.1	tfb		APE_2443.1		Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1)
Q9Y821	Q9Y821	MED4_SCHPO	Mediator of RNA polymerase II transcription subunit 4 (Mediator complex subunit 4) (RNA polymerase II mediator complex protein pmc4)	med4 pmc4 SPBC1105.06	med4	pmc4		SPBC1105.06	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)
Q9Y815	Q9Y815	RSV2_SCHPO	Zinc finger protein rsv2 (Required for stationary phase viability protein 2)	rsv2 SPBC1105.14	rsv2			SPBC1105.14	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)
Q9Y7J9	Q9Y7J9	MCP5_SCHPO	Meiotic coiled-coil protein 5 (Meiotically up-regulated gene 21 protein) (Nuclear migration protein num1)	mcp5 mug21 num1 SPBC216.02	mcp5	mug21 num1		SPBC216.02	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)
Q9Y7J1	Q9Y7J1	SPO6_SCHPO	Sporulation-specific protein 6	spo6 SPBC1778.04	spo6			SPBC1778.04	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)
Q9Y7D5	Q9Y7D5	LOVF_ASPTE	Lovastatin diketide synthase LovF (LDKS) (EC 2.3.1.244)	lovF	lovF				Aspergillus terreus
Q9Y7D1	Q9Y7D1	LOVD_ASPTE	Acyltransferase LovD (EC 2.3.1.238) (Lovastatin hydrolase) (Simvastatin synthase LovD) (SV synthase)	lovD	lovD				Aspergillus terreus
Q9Y7D0	Q9Y7D0	LOVC_ASPTE	Enoyl reductase LovC (EC 1.-.-.-)	lovC	lovC				Aspergillus terreus
Q9Y7B3	Q9Y7B3	DOP1_EMENI	Protein dopey	dop1 AN2094	dop1			AN2094	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) (Aspergillus nidulans)
Q9Y6Z4	Q9Y6Z4	KIAS1_HUMAN	Putative uncharacterized protein KIF25-AS1 (KIF25 antisense RNA 1) (KIF25 antisense gene protein 1) (Protein HGC6.1)	KIF25-AS1 C6orf54 NCRNA00300	KIF25-AS1	C6orf54 NCRNA00300			Homo sapiens (Human)
Q9Y6Y8	Q9Y6Y8	S23IP_HUMAN	SEC23-interacting protein (p125)	SEC23IP MSTP053	SEC23IP			MSTP053	Homo sapiens (Human)
Q9Y6Y1	Q9Y6Y1	CMTA1_HUMAN	Calmodulin-binding transcription activator 1	CAMTA1 KIAA0833 MSTP023	CAMTA1	KIAA0833		MSTP023	Homo sapiens (Human)
Q9Y6Y0	Q9Y6Y0	NS1BP_HUMAN	Influenza virus NS1A-binding protein (NS1-BP) (NS1-binding protein) (Aryl hydrocarbon receptor-associated protein 3)	IVNS1ABP ARA3 FLARA3 KIAA0850 NS1 NS1BP HSPC068	IVNS1ABP	ARA3 FLARA3 KIAA0850 NS1 NS1BP		HSPC068	Homo sapiens (Human)
Q9Y6X8	Q9Y6X8	ZHX2_HUMAN	Zinc fingers and homeoboxes protein 2 (Alpha-fetoprotein regulator 1) (AFP regulator 1) (Regulator of AFP) (Zinc finger and homeodomain protein 2)	ZHX2 AFR1 KIAA0854 RAF	ZHX2	AFR1 KIAA0854 RAF			Homo sapiens (Human)
Q9Y6X5	Q9Y6X5	ENPP4_HUMAN	Bis(5'-adenosyl)-triphosphatase ENPP4 (EC 3.6.1.29) (AP3A hydrolase) (AP3Aase) (Ectonucleotide pyrophosphatase/phosphodiesterase family member 4) (E-NPP 4) (NPP-4)	ENPP4 KIAA0879 NPP4	ENPP4	KIAA0879 NPP4			Homo sapiens (Human)
Q9Y6X3	Q9Y6X3	SCC4_HUMAN	MAU2 chromatid cohesion factor homolog (MAU-2) (Cohesin loading complex subunit SCC4 homolog)	MAU2 KIAA0892 SCC4	MAU2	KIAA0892 SCC4			Homo sapiens (Human)
Q9Y6X2	Q9Y6X2	PIAS3_HUMAN	E3 SUMO-protein ligase PIAS3 (EC 6.3.2.-) (Protein inhibitor of activated STAT protein 3)	PIAS3	PIAS3				Homo sapiens (Human)
Q9Y6X1	Q9Y6X1	SERP1_HUMAN	Stress-associated endoplasmic reticulum protein 1 (Ribosome-attached membrane protein 4)	SERP1 RAMP4	SERP1	RAMP4			Homo sapiens (Human)
Q9Y6W8	Q9Y6W8	ICOS_HUMAN	Inducible T-cell costimulator (Activation-inducible lymphocyte immunomediatory molecule) (CD antigen CD278)	ICOS AILIM	ICOS	AILIM			Homo sapiens (Human)
Q9Y6W6	Q9Y6W6	DUS10_HUMAN	Dual specificity protein phosphatase 10 (EC 3.1.3.16) (EC 3.1.3.48) (Mitogen-activated protein kinase phosphatase 5) (MAP kinase phosphatase 5) (MKP-5)	DUSP10 MKP5	DUSP10	MKP5			Homo sapiens (Human)
Q9Y6W3	Q9Y6W3	CAN7_HUMAN	Calpain-7 (EC 3.4.22.-) (PalB homolog) (PalBH)	CAPN7 PALBH	CAPN7	PALBH			Homo sapiens (Human)
Q9Y6U3	Q9Y6U3	ADSV_HUMAN	Adseverin (Scinderin)	SCIN KIAA1905	SCIN	KIAA1905			Homo sapiens (Human)
Q9Y6R7	Q9Y6R7	FCGBP_HUMAN	IgGFc-binding protein (Fcgamma-binding protein antigen) (FcgammaBP)	FCGBP	FCGBP				Homo sapiens (Human)
Q9Y6R4	Q9Y6R4	M3K4_HUMAN	Mitogen-activated protein kinase kinase kinase 4 (EC 2.7.11.25) (MAP three kinase 1) (MAPK/ERK kinase kinase 4) (MEK kinase 4) (MEKK 4)	MAP3K4 KIAA0213 MAPKKK4 MEKK4 MTK1	MAP3K4	KIAA0213 MAPKKK4 MEKK4 MTK1			Homo sapiens (Human)
Q9Y6R1	Q9Y6R1	S4A4_HUMAN	Electrogenic sodium bicarbonate cotransporter 1 (Sodium bicarbonate cotransporter) (Na(+)/HCO3(-) cotransporter) (Solute carrier family 4 member 4) (kNBC1)	SLC4A4 NBC NBC1 NBCE1	SLC4A4	NBC NBC1 NBCE1			Homo sapiens (Human)
Q9Y6R0	Q9Y6R0	NUMBL_HUMAN	Numb-like protein (Numb-related protein) (Numb-R)	NUMBL	NUMBL				Homo sapiens (Human)
Q9Y6Q6	Q9Y6Q6	TNR11_HUMAN	Tumor necrosis factor receptor superfamily member 11A (Osteoclast differentiation factor receptor) (ODFR) (Receptor activator of NF-KB) (CD antigen CD265)	TNFRSF11A RANK	TNFRSF11A	RANK			Homo sapiens (Human)
Q9Y6Q2	Q9Y6Q2	STON1_HUMAN	Stonin-1 (Stoned B-like factor)	STON1 SALF SBLF STN1	STON1	SALF SBLF STN1			Homo sapiens (Human)
Q9Y6P5	Q9Y6P5	SESN1_HUMAN	Sestrin-1 (EC 1.11.1.15) (p53-regulated protein PA26)	SESN1 PA26 SEST1	SESN1	PA26 SEST1			Homo sapiens (Human)
Q9Y6N8	Q9Y6N8	CAD10_HUMAN	Cadherin-10 (T2-cadherin)	CDH10	CDH10				Homo sapiens (Human)
Q9Y6M5	Q9Y6M5	ZNT1_HUMAN	Zinc transporter 1 (ZnT-1) (Solute carrier family 30 member 1)	SLC30A1 ZNT1	SLC30A1	ZNT1			Homo sapiens (Human)
Q9Y6L6	Q9Y6L6	SO1B1_HUMAN	Solute carrier organic anion transporter family member 1B1 (Liver-specific organic anion transporter 1) (LST-1) (OATP-C) (Sodium-independent organic anion-transporting polypeptide 2) (OATP-2) (Solute carrier family 21 member 6)	SLCO1B1 LST1 OATP1B1 OATP2 OATPC SLC21A6	SLCO1B1	LST1 OATP1B1 OATP2 OATPC SLC21A6			Homo sapiens (Human)
Q9Y6K9	Q9Y6K9	NEMO_HUMAN	NF-kappa-B essential modulator (NEMO) (FIP-3) (IkB kinase-associated protein 1) (IKKAP1) (Inhibitor of nuclear factor kappa-B kinase subunit gamma) (I-kappa-B kinase subunit gamma) (IKK-gamma) (IKKG) (IkB kinase subunit gamma) (NF-kappa-B essential modifier)	IKBKG FIP3 NEMO	IKBKG	FIP3 NEMO			Homo sapiens (Human)
Q9Y6K1	Q9Y6K1	DNM3A_HUMAN	DNA (cytosine-5)-methyltransferase 3A (Dnmt3a) (EC 2.1.1.37) (DNA methyltransferase HsaIIIA) (DNA MTase HsaIIIA) (M.HsaIIIA)	DNMT3A	DNMT3A				Homo sapiens (Human)
Q9Y6J8	Q9Y6J8	STYL1_HUMAN	Serine/threonine/tyrosine-interacting-like protein 1 (Dual specificity phosphatase inhibitor MK-STYX) (Dual specificity protein phosphatase 24) (Map kinase phosphatase-like protein MK-STYX)	STYXL1 DUSP24 MKSTYX	STYXL1	DUSP24 MKSTYX			Homo sapiens (Human)
Q9Y6I7	Q9Y6I7	WSB1_HUMAN	WD repeat and SOCS box-containing protein 1 (WSB-1) (SOCS box-containing WD protein SWiP-1)	WSB1 SWIP1	WSB1	SWIP1			Homo sapiens (Human)
Q9Y6I3	Q9Y6I3	EPN1_HUMAN	Epsin-1 (EH domain-binding mitotic phosphoprotein) (EPS-15-interacting protein 1)	EPN1	EPN1				Homo sapiens (Human)
Q9Y6H5	Q9Y6H5	SNCAP_HUMAN	Synphilin-1 (Sph1) (Alpha-synuclein-interacting protein)	SNCAIP	SNCAIP				Homo sapiens (Human)
Q9Y6G9	Q9Y6G9	DC1L1_HUMAN	Cytoplasmic dynein 1 light intermediate chain 1 (LIC1) (Dynein light chain A) (DLC-A) (Dynein light intermediate chain 1, cytosolic)	DYNC1LI1 DNCLI1	DYNC1LI1	DNCLI1			Homo sapiens (Human)
Q9Y6D9	Q9Y6D9	MD1L1_HUMAN	Mitotic spindle assembly checkpoint protein MAD1 (Mitotic arrest deficient 1-like protein 1) (MAD1-like protein 1) (Mitotic checkpoint MAD1 protein homolog) (HsMAD1) (hMAD1) (Tax-binding protein 181)	MAD1L1 MAD1 TXBP181	MAD1L1	MAD1 TXBP181			Homo sapiens (Human)
Q9Y6C5	Q9Y6C5	PTC2_HUMAN	Protein patched homolog 2 (PTC2)	PTCH2 UNQ560/PRO1121/PRO57079	PTCH2			UNQ560/PRO1121/PRO57079	Homo sapiens (Human)
Q9Y6B7	Q9Y6B7	AP4B1_HUMAN	AP-4 complex subunit beta-1 (AP-4 adaptor complex subunit beta) (Adaptor-related protein complex 4 subunit beta-1) (Beta subunit of AP-4) (Beta4-adaptin)	AP4B1	AP4B1				Homo sapiens (Human)
Q9Y6A5	Q9Y6A5	TACC3_HUMAN	Transforming acidic coiled-coil-containing protein 3 (ERIC-1)	TACC3 ERIC1	TACC3	ERIC1			Homo sapiens (Human)
Q9Y6A2	Q9Y6A2	CP46A_HUMAN	Cholesterol 24-hydroxylase (CH24H) (EC 1.14.14.25) (Cytochrome P450 46A1)	CYP46A1 CYP46	CYP46A1	CYP46			Homo sapiens (Human)
Q9Y698	Q9Y698	CCG2_HUMAN	Voltage-dependent calcium channel gamma-2 subunit (Neuronal voltage-gated calcium channel gamma-2 subunit) (Transmembrane AMPAR regulatory protein gamma-2) (TARP gamma-2)	CACNG2	CACNG2				Homo sapiens (Human)
Q9Y697	Q9Y697	NFS1_HUMAN	Cysteine desulfurase, mitochondrial (EC 2.8.1.7)	NFS1 NIFS HUSSY-08	NFS1	NIFS		HUSSY-08	Homo sapiens (Human)
Q9Y676	Q9Y676	RT18B_HUMAN	28S ribosomal protein S18b, mitochondrial (MRP-S18-b) (Mrps18-b) (S18mt-b) (28S ribosomal protein S18-2, mitochondrial) (MRP-S18-2) (Mitochondrial small ribosomal subunit protein bS18b) (Mitochondrial small ribosomal subunit protein mS40)	MRPS18B C6orf14 HSPC183 PTD017	MRPS18B	C6orf14		HSPC183 PTD017	Homo sapiens (Human)
Q9Y666	Q9Y666	S12A7_HUMAN	Solute carrier family 12 member 7 (Electroneutral potassium-chloride cotransporter 4) (K-Cl cotransporter 4)	SLC12A7 KCC4	SLC12A7	KCC4			Homo sapiens (Human)
Q9Y653	Q9Y653	AGRG1_HUMAN	Adhesion G-protein coupled receptor G1 (G-protein coupled receptor 56) (Protein TM7XN1) [Cleaved into: ADGRG1 N-terminal fragment (ADGRG1 NT) (GPR56 N-terminal fragment) (GPR56 NT) (GPR56(N)) (GPR56 extracellular subunit) (GPR56 subunit alpha); ADGRG1 C-terminal fragment (ADGRG1 CT) (GPR56 C-terminal fragment) (GPR56 CT) (GPR56(C)) (GPR56 seven-transmembrane subunit) (GPR56 7TM) (GPR56 subunit beta)]	ADGRG1 GPR56 TM7LN4 TM7XN1 UNQ540/PRO1083	ADGRG1	GPR56 TM7LN4 TM7XN1		UNQ540/PRO1083	Homo sapiens (Human)
Q9Y651	Q9Y651	SOX21_HUMAN	Transcription factor SOX-21 (SOX-A)	SOX21 SOX25 SOXA	SOX21	SOX25 SOXA			Homo sapiens (Human)
Q9Y639	Q9Y639	NPTN_HUMAN	Neuroplastin (Stromal cell-derived receptor 1) (SDR-1)	NPTN SDFR1 SDR1	NPTN	SDFR1 SDR1			Homo sapiens (Human)
Q9Y625	Q9Y625	GPC6_HUMAN	Glypican-6 [Cleaved into: Secreted glypican-6]	GPC6 UNQ369/PRO705	GPC6			UNQ369/PRO705	Homo sapiens (Human)
Q9Y618	Q9Y618	NCOR2_HUMAN	Nuclear receptor corepressor 2 (N-CoR2) (CTG repeat protein 26) (SMAP270) (Silencing mediator of retinoic acid and thyroid hormone receptor) (SMRT) (T3 receptor-associating factor) (TRAC) (Thyroid-, retinoic-acid-receptor-associated corepressor)	NCOR2 CTG26	NCOR2	CTG26			Homo sapiens (Human)
Q9Y616	Q9Y616	IRAK3_HUMAN	Interleukin-1 receptor-associated kinase 3 (IRAK-3) (EC 2.7.11.1) (IL-1 receptor-associated kinase M) (IRAK-M)	IRAK3	IRAK3				Homo sapiens (Human)
Q9Y613	Q9Y613	FHOD1_HUMAN	FH1/FH2 domain-containing protein 1 (Formin homolog overexpressed in spleen 1) (FHOS) (Formin homology 2 domain-containing protein 1)	FHOD1 FHOS FHOS1	FHOD1	FHOS FHOS1			Homo sapiens (Human)
Q9Y603	Q9Y603	ETV7_HUMAN	Transcription factor ETV7 (ETS translocation variant 7) (ETS-related protein Tel2) (Tel-related Ets factor) (Transcription factor Tel-2)	ETV7 TEL2 TELB TREF	ETV7	TEL2 TELB TREF			Homo sapiens (Human)
Q9Y600	Q9Y600	CSAD_HUMAN	Cysteine sulfinic acid decarboxylase (EC 4.1.1.29) (Cysteine-sulfinate decarboxylase) (Sulfinoalanine decarboxylase)	CSAD CSD	CSAD	CSD			Homo sapiens (Human)
Q9Y5Z6	Q9Y5Z6	B3GT1_HUMAN	Beta-1,3-galactosyltransferase 1 (Beta-1,3-GalTase 1) (Beta3Gal-T1) (Beta3GalT1) (EC 2.4.1.86) (UDP-galactose:beta-N-acetyl-glucosamine-beta-1,3-galactosyltransferase 1)	B3GALT1	B3GALT1				Homo sapiens (Human)
Q9Y5Z4	Q9Y5Z4	HEBP2_HUMAN	Heme-binding protein 2 (Placental protein 23) (PP23) (Protein SOUL)	HEBP2 C6orf34 SOUL	HEBP2	C6orf34 SOUL			Homo sapiens (Human)
Q9Y5Z0	Q9Y5Z0	BACE2_HUMAN	Beta-secretase 2 (EC 3.4.23.45) (Aspartic-like protease 56 kDa) (Aspartyl protease 1) (ASP1) (Asp 1) (Beta-site amyloid precursor protein cleaving enzyme 2) (Beta-site APP cleaving enzyme 2) (Down region aspartic protease) (DRAP) (Memapsin-1) (Membrane-associated aspartic protease 1) (Theta-secretase)	BACE2 AEPLC ALP56 ASP21 CDA13 UNQ418/PRO852	BACE2	AEPLC ALP56 ASP21		CDA13 UNQ418/PRO852	Homo sapiens (Human)
Q9Y5Y6	Q9Y5Y6	ST14_HUMAN	Suppressor of tumorigenicity 14 protein (EC 3.4.21.109) (Matriptase) (Membrane-type serine protease 1) (MT-SP1) (Prostamin) (Serine protease 14) (Serine protease TADG-15) (Tumor-associated differentially-expressed gene 15 protein)	ST14 PRSS14 SNC19 TADG15	ST14	PRSS14 SNC19 TADG15			Homo sapiens (Human)
Q9Y5Y2	Q9Y5Y2	NUBP2_HUMAN	Cytosolic Fe-S cluster assembly factor NUBP2 (Nucleotide-binding protein 2) (NBP 2)	NUBP2	NUBP2				Homo sapiens (Human)
Q9Y5Y0	Q9Y5Y0	FLVC1_HUMAN	Feline leukemia virus subgroup C receptor-related protein 1 (Feline leukemia virus subgroup C receptor) (hFLVCR)	FLVCR1 FLVCR	FLVCR1	FLVCR			Homo sapiens (Human)
Q9Y5X9	Q9Y5X9	LIPE_HUMAN	Endothelial lipase (EC 3.1.1.3) (Endothelial cell-derived lipase) (EDL) (EL)	LIPG UNQ387/PRO719	LIPG			UNQ387/PRO719	Homo sapiens (Human)
Q9Y5X5	Q9Y5X5	NPFF2_HUMAN	Neuropeptide FF receptor 2 (G-protein coupled receptor 74) (G-protein coupled receptor HLWAR77) (Neuropeptide G-protein coupled receptor)	NPFFR2 GPR74 NPFF2 NPGPR	NPFFR2	GPR74 NPFF2 NPGPR			Homo sapiens (Human)
Q9Y5X4	Q9Y5X4	NR2E3_HUMAN	Photoreceptor-specific nuclear receptor (Nuclear receptor subfamily 2 group E member 3) (Retina-specific nuclear receptor)	NR2E3 PNR RNR	NR2E3	PNR RNR			Homo sapiens (Human)
Q9Y5X3	Q9Y5X3	SNX5_HUMAN	Sorting nexin-5	SNX5	SNX5				Homo sapiens (Human)
Q9Y5X2	Q9Y5X2	SNX8_HUMAN	Sorting nexin-8	SNX8	SNX8				Homo sapiens (Human)
Q9Y5X1	Q9Y5X1	SNX9_HUMAN	Sorting nexin-9 (SH3 and PX domain-containing protein 1) (Protein SDP1) (SH3 and PX domain-containing protein 3A)	SNX9 SH3PX1 SH3PXD3A	SNX9	SH3PX1 SH3PXD3A			Homo sapiens (Human)
Q9Y5W5	Q9Y5W5	WIF1_HUMAN	Wnt inhibitory factor 1 (WIF-1)	WIF1 UNQ191/PRO217	WIF1			UNQ191/PRO217	Homo sapiens (Human)
Q9Y5W3	Q9Y5W3	KLF2_HUMAN	Krueppel-like factor 2 (Lung krueppel-like factor)	KLF2 LKLF	KLF2	LKLF			Homo sapiens (Human)
Q9Y5V3	Q9Y5V3	MAGD1_HUMAN	Melanoma-associated antigen D1 (MAGE tumor antigen CCF) (MAGE-D1 antigen) (Neurotrophin receptor-interacting MAGE homolog)	MAGED1 NRAGE PP2250 PRO2292	MAGED1	NRAGE		PP2250 PRO2292	Homo sapiens (Human)
Q9Y5U8	Q9Y5U8	MPC1_HUMAN	Mitochondrial pyruvate carrier 1 (Brain protein 44-like protein)	MPC1 BRP44L CGI-129 HSPC040 PNAS-115	MPC1	BRP44L		CGI-129 HSPC040 PNAS-115	Homo sapiens (Human)
Q9Y5U4	Q9Y5U4	INSI2_HUMAN	Insulin-induced gene 2 protein (INSIG-2)	INSIG2	INSIG2				Homo sapiens (Human)
Q9Y5S2	Q9Y5S2	MRCKB_HUMAN	Serine/threonine-protein kinase MRCK beta (EC 2.7.11.1) (CDC42-binding protein kinase beta) (CDC42BP-beta) (DMPK-like beta) (Myotonic dystrophy kinase-related CDC42-binding kinase beta) (MRCK beta) (Myotonic dystrophy protein kinase-like beta)	CDC42BPB KIAA1124	CDC42BPB	KIAA1124			Homo sapiens (Human)
Q9Y5S1	Q9Y5S1	TRPV2_HUMAN	Transient receptor potential cation channel subfamily V member 2 (TrpV2) (Osm-9-like TRP channel 2) (OTRPC2) (Vanilloid receptor-like protein 1) (VRL-1)	TRPV2 VRL	TRPV2	VRL			Homo sapiens (Human)
Q9Y5R8	Q9Y5R8	TPPC1_HUMAN	Trafficking protein particle complex subunit 1 (BET5 homolog) (Multiple myeloma protein 2) (MUM-2)	TRAPPC1 BET5 MUM2	TRAPPC1	BET5 MUM2			Homo sapiens (Human)
Q9Y5Q8	Q9Y5Q8	TF3C5_HUMAN	General transcription factor 3C polypeptide 5 (TF3C-epsilon) (Transcription factor IIIC 63 kDa subunit) (TFIIIC 63 kDa subunit) (TFIIIC63) (Transcription factor IIIC subunit epsilon)	GTF3C5 CDABP0017	GTF3C5			CDABP0017	Homo sapiens (Human)
Q9Y5N6	Q9Y5N6	ORC6_HUMAN	Origin recognition complex subunit 6	ORC6 ORC6L	ORC6	ORC6L			Homo sapiens (Human)
Q9Y5M8	Q9Y5M8	SRPRB_HUMAN	Signal recognition particle receptor subunit beta (SR-beta) (Protein APMCF1)	SRPRB PSEC0230	SRPRB			PSEC0230	Homo sapiens (Human)
Q9Y5L3	Q9Y5L3	ENTP2_HUMAN	Ectonucleoside triphosphate diphosphohydrolase 2 (NTPDase 2) (EC 3.6.1.-) (CD39 antigen-like 1) (Ecto-ATP diphosphohydrolase 2) (Ecto-ATPDase 2) (Ecto-ATPase 2)	ENTPD2 CD39L1	ENTPD2	CD39L1			Homo sapiens (Human)
Q9Y5L2	Q9Y5L2	HLPDA_HUMAN	Hypoxia-inducible lipid droplet-associated protein (Hypoxia-inducible gene 2 protein)	HILPDA C7orf68 HIG2	HILPDA	C7orf68 HIG2			Homo sapiens (Human)
Q9Y5L0	Q9Y5L0	TNPO3_HUMAN	Transportin-3 (Importin-12) (Imp12) (Transportin-SR) (TRN-SR)	TNPO3 IPO12	TNPO3	IPO12			Homo sapiens (Human)
Q9Y5K8	Q9Y5K8	VATD_HUMAN	V-type proton ATPase subunit D (V-ATPase subunit D) (V-ATPase 28 kDa accessory protein) (Vacuolar proton pump subunit D)	ATP6V1D ATP6M VATD	ATP6V1D	ATP6M VATD			Homo sapiens (Human)
Q9Y5K5	Q9Y5K5	UCHL5_HUMAN	Ubiquitin carboxyl-terminal hydrolase isozyme L5 (UCH-L5) (EC 3.4.19.12) (Ubiquitin C-terminal hydrolase UCH37) (Ubiquitin thioesterase L5)	UCHL5 UCH37 AD-019 CGI-70	UCHL5	UCH37		AD-019 CGI-70	Homo sapiens (Human)
Q9Y5K2	Q9Y5K2	KLK4_HUMAN	Kallikrein-4 (EC 3.4.21.-) (Enamel matrix serine proteinase 1) (Kallikrein-like protein 1) (KLK-L1) (Prostase) (Serine protease 17)	KLK4 EMSP1 PRSS17 PSTS	KLK4	EMSP1 PRSS17 PSTS			Homo sapiens (Human)
Q9Y5K1	Q9Y5K1	SPO11_HUMAN	Meiotic recombination protein SPO11 (EC 5.99.1.3) (Cancer/testis antigen 35) (CT35)	SPO11	SPO11				Homo sapiens (Human)
Q9Y5J7	Q9Y5J7	TIM9_HUMAN	Mitochondrial import inner membrane translocase subunit Tim9	TIMM9 TIM9 TIM9A TIMM9A	TIMM9	TIM9 TIM9A TIMM9A			Homo sapiens (Human)
Q9Y5J3	Q9Y5J3	HEY1_HUMAN	Hairy/enhancer-of-split related with YRPW motif protein 1 (Cardiovascular helix-loop-helix factor 2) (CHF-2) (Class B basic helix-loop-helix protein 31) (bHLHb31) (HES-related repressor protein 1) (Hairy and enhancer of split-related protein 1) (HESR-1) (Hairy-related transcription factor 1) (HRT-1) (hHRT1)	HEY1 BHLHB31 CHF2 HERP2 HESR1 HRT1	HEY1	BHLHB31 CHF2 HERP2 HESR1 HRT1			Homo sapiens (Human)
Q9Y5I7	Q9Y5I7	CLD16_HUMAN	Claudin-16 (Paracellin-1) (PCLN-1)	CLDN16 PCLN1	CLDN16	PCLN1			Homo sapiens (Human)
Q9Y5I4	Q9Y5I4	PCDC2_HUMAN	Protocadherin alpha-C2 (PCDH-alpha-C2)	PCDHAC2	PCDHAC2				Homo sapiens (Human)
Q9Y5I3	Q9Y5I3	PCDA1_HUMAN	Protocadherin alpha-1 (PCDH-alpha-1)	PCDHA1	PCDHA1				Homo sapiens (Human)
Q9Y5I2	Q9Y5I2	PCDAA_HUMAN	Protocadherin alpha-10 (PCDH-alpha-10)	PCDHA10 CNRS8	PCDHA10	CNRS8			Homo sapiens (Human)
Q9Y5I1	Q9Y5I1	PCDAB_HUMAN	Protocadherin alpha-11 (PCDH-alpha-11)	PCDHA11 CNRS7	PCDHA11	CNRS7			Homo sapiens (Human)
Q9Y5H9	Q9Y5H9	PCDA2_HUMAN	Protocadherin alpha-2 (PCDH-alpha-2)	PCDHA2	PCDHA2				Homo sapiens (Human)
Q9Y5H8	Q9Y5H8	PCDA3_HUMAN	Protocadherin alpha-3 (PCDH-alpha-3)	PCDHA3	PCDHA3				Homo sapiens (Human)
Q9Y5H7	Q9Y5H7	PCDA5_HUMAN	Protocadherin alpha-5 (PCDH-alpha-5)	PCDHA5 CNRS6	PCDHA5	CNRS6			Homo sapiens (Human)
Q9Y5H6	Q9Y5H6	PCDA8_HUMAN	Protocadherin alpha-8 (PCDH-alpha-8)	PCDHA8	PCDHA8				Homo sapiens (Human)
Q9Y5H5	Q9Y5H5	PCDA9_HUMAN	Protocadherin alpha-9 (PCDH-alpha-9)	PCDHA9 KIAA0345	PCDHA9	KIAA0345			Homo sapiens (Human)
Q9Y5H4	Q9Y5H4	PCDG1_HUMAN	Protocadherin gamma-A1 (PCDH-gamma-A1)	PCDHGA1	PCDHGA1				Homo sapiens (Human)
Q9Y5H3	Q9Y5H3	PCDGA_HUMAN	Protocadherin gamma-A10 (PCDH-gamma-A10)	PCDHGA10	PCDHGA10				Homo sapiens (Human)
Q9Y5H2	Q9Y5H2	PCDGB_HUMAN	Protocadherin gamma-A11 (PCDH-gamma-A11)	PCDHGA11	PCDHGA11				Homo sapiens (Human)
Q9Y5H0	Q9Y5H0	PCDG3_HUMAN	Protocadherin gamma-A3 (PCDH-gamma-A3)	PCDHGA3	PCDHGA3				Homo sapiens (Human)
Q9Y5G9	Q9Y5G9	PCDG4_HUMAN	Protocadherin gamma-A4 (PCDH-gamma-A4)	PCDHGA4	PCDHGA4				Homo sapiens (Human)
Q9Y5G6	Q9Y5G6	PCDG7_HUMAN	Protocadherin gamma-A7 (PCDH-gamma-A7)	PCDHGA7	PCDHGA7				Homo sapiens (Human)
Q9Y5G2	Q9Y5G2	PCDGE_HUMAN	Protocadherin gamma-B2 (PCDH-gamma-B2)	PCDHGB2	PCDHGB2				Homo sapiens (Human)
Q9Y5G1	Q9Y5G1	PCDGF_HUMAN	Protocadherin gamma-B3 (PCDH-gamma-B3)	PCDHGB3	PCDHGB3				Homo sapiens (Human)
Q9Y5F9	Q9Y5F9	PCDGI_HUMAN	Protocadherin gamma-B6 (PCDH-gamma-B6)	PCDHGB6	PCDHGB6				Homo sapiens (Human)
Q9Y5F6	Q9Y5F6	PCDGM_HUMAN	Protocadherin gamma-C5 (PCDH-gamma-C5)	PCDHGC5	PCDHGC5				Homo sapiens (Human)
Q9Y5F3	Q9Y5F3	PCDB1_HUMAN	Protocadherin beta-1 (PCDH-beta-1)	PCDHB1	PCDHB1				Homo sapiens (Human)
Q9Y5F0	Q9Y5F0	PCDBD_HUMAN	Protocadherin beta-13 (PCDH-beta-13)	PCDHB13 UNQ332/PRO531	PCDHB13			UNQ332/PRO531	Homo sapiens (Human)
